"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D3.4.22",0.000159511451470973,0.0117526514942235,0.0204625549494604,0.0242330347135651,0.0327545764143512,0.208196984702907,0.0239329341794122,0.024533135247718,"C1D3","TVSS","KH",5,"DENV4",22
"C1D3.1.23",0.000269603835829191,0.00972481203436945,0.0167456347051681,0.0199405013755615,0.026826927903801,0.107113247234945,0.0196909104578652,0.0201900922932577,"C1D3","TVSS","KH",5,"DENV1",23
"C1D3.2.23",0.000265473423241347,0.031705838723687,0.0549511090764271,0.0641872262781868,0.0866696029612134,0.370009322526049,0.0634052593018714,0.0649691932545021,"C1D3","TVSS","KH",5,"DENV2",23
"C1D3.3.23",0.000114014787238936,0.00892166421060064,0.0156390176392093,0.0186272384069702,0.0249459574074509,0.111239326361819,0.018391007890087,0.0188634689238533,"C1D3","TVSS","KH",5,"DENV3",23
"C1D3.4.23",0.000101088377478131,0.0114851119290751,0.0202799513604655,0.0239704592801966,0.0319805420294228,0.161344279795218,0.0236674097879846,0.0242735087724085,"C1D3","TVSS","KH",5,"DENV4",23
"C1D3.1.24",7.4505687182036e-05,0.00959187024444003,0.0167622660231008,0.0198959868660259,0.0266642261648053,0.114936553191078,0.019645346788116,0.0201466269439358,"C1D3","TVSS","KH",5,"DENV1",24
"C1D3.2.24",0.00117734488802346,0.0394737753031235,0.0673081057810395,0.0783414600693869,0.105064122232971,0.38503213640694,0.0773991377349264,0.0792837824038473,"C1D3","TVSS","KH",5,"DENV2",24
"C1D3.3.24",0.000248258461811757,0.0094107938379695,0.0163401403906048,0.01959232064915,0.0264803453711846,0.122023385548585,0.0193448998819864,0.0198397414163136,"C1D3","TVSS","KH",5,"DENV3",24
"C1D3.4.24",9.76885281419593e-05,0.0122616502406652,0.0212394091905951,0.0253758963546461,0.0343181318291601,0.15398044993496,0.0250550508965831,0.025696741812709,"C1D3","TVSS","KH",5,"DENV4",24
"C1D3.1.25",0.000173149524278382,0.00960345902583953,0.0169580860061556,0.0203679051244153,0.0274546342550608,0.115583382873119,0.0201073023278731,0.0206285079209576,"C1D3","TVSS","KH",5,"DENV1",25
"C1D3.2.25",0.000808989727020371,0.0400008382820661,0.0702968768348321,0.0820323603776156,0.111096939034998,0.448401567233738,0.0810321165374481,0.083032604217783,"C1D3","TVSS","KH",5,"DENV2",25
"C1D3.3.25",3.26420896417101e-05,0.00965124462492514,0.0167927444557514,0.019880918665161,0.02670541366002,0.138794435372423,0.0196286541801087,0.0201331831502134,"C1D3","TVSS","KH",5,"DENV3",25
"C1D3.4.25",0.000133589144634905,0.0121336466924437,0.0210352982210372,0.025113107597929,0.0335283793336895,0.152293302439953,0.0247940248057572,0.0254321903901007,"C1D3","TVSS","KH",5,"DENV4",25
"C1D3.1.26",0.000184093204804947,0.0101566873602622,0.0179879486713549,0.0213339298137617,0.0288465652999566,0.133859996198066,0.0210638085430188,0.0216040510845046,"C1D3","TVSS","KH",5,"DENV1",26
"C1D3.2.26",0.000525279353621344,0.0416346733587535,0.0717731329206729,0.0849976976727596,0.115527047335813,0.620091269562014,0.0839588445628062,0.086036550782713,"C1D3","TVSS","KH",5,"DENV2",26
"C1D3.3.26",0.000114050591471293,0.0100403292699022,0.0176304811742938,0.0209876946248993,0.0281131542388622,0.11569085228492,0.0207204107517967,0.0212549784980019,"C1D3","TVSS","KH",5,"DENV3",26
"C1D3.4.26",9.99989169817583e-05,0.0123955946571883,0.0216017135791979,0.0256890403537886,0.0345101982035367,0.147382076644579,0.0253654539980038,0.0260126267095734,"C1D3","TVSS","KH",5,"DENV4",26
"C1D3.1.27",7.02058462632715e-05,0.0107777217340245,0.0187667826562047,0.022280467465231,0.0297251016676391,0.125502647677426,0.0219983850524687,0.0225625498779933,"C1D3","TVSS","KH",5,"DENV1",27
"C1D3.2.27",0.000314786503349151,0.0427162144675278,0.0753871335086407,0.0875298793889222,0.118749710851708,0.460236690883484,0.0864719952346383,0.088587763543206,"C1D3","TVSS","KH",5,"DENV2",27
"C1D3.3.27",6.93960776575464e-05,0.0105562493565513,0.0184227998196819,0.0217194237562603,0.0289468933159074,0.139857305232923,0.0214443667459646,0.021994480766556,"C1D3","TVSS","KH",5,"DENV3",27
"C1D3.4.27",7.23516299306892e-05,0.0127421825281339,0.0221046767601911,0.0262262171494888,0.0355387936044068,0.154944133807257,0.0258995685041088,0.0265528657948688,"C1D3","TVSS","KH",5,"DENV4",27
"C1D3.1.28",0.000119912294817004,0.0110634859573228,0.0192839693595822,0.0229367997097061,0.0309702335767966,0.119127097059701,0.0226482520216814,0.0232253473977308,"C1D3","TVSS","KH",5,"DENV1",28
"C1D3.2.28",0.000686404039827448,0.0464793623856944,0.0799838180446376,0.0934051601185066,0.126405519492695,0.503392961146536,0.0922876910807805,0.0945226291562326,"C1D3","TVSS","KH",5,"DENV2",28
"C1D3.3.28",6.15736387266086e-06,0.0109944363708314,0.0192648722203365,0.0227590039060814,0.0306057120592199,0.153542931653527,0.0224751489471351,0.0230428588650276,"C1D3","TVSS","KH",5,"DENV3",28
"C1D3.4.28",0.000423541334406696,0.0133873441681912,0.0234077654043159,0.0279758632704315,0.0378431705127517,0.15864621605183,0.0276244895846803,0.0283272369561828,"C1D3","TVSS","KH",5,"DENV4",28
"C1D3.1.29",0.000107344471827919,0.0118938276802056,0.0208684173886846,0.0249434448945279,0.0335874974285006,0.144395761182711,0.0246254998410053,0.0252613899480505,"C1D3","TVSS","KH",5,"DENV1",29
"C1D3.2.29",0.0007150387795688,0.0442868646342441,0.0758951354790192,0.0891327674578918,0.121170995139141,0.45512455608557,0.0880522890235765,0.0902132458922072,"C1D3","TVSS","KH",5,"DENV2",29
"C1D3.3.29",0.00019434465324264,0.0116170906493133,0.0202678489679014,0.0240234577456769,0.0321745773621139,0.165732767220805,0.0237219871716015,0.0243249283197524,"C1D3","TVSS","KH",5,"DENV3",29
"C1D3.4.29",0.000465684247634379,0.0149253360551579,0.0261005929656963,0.0310432506290444,0.0417376936790468,0.177262178431398,0.0306534217649156,0.0314330794931733,"C1D3","TVSS","KH",5,"DENV4",29
"C1D3.1.30",6.83553429959849e-05,0.0141148832717121,0.0243582649238939,0.0288678146134294,0.0385496834803278,0.154474644838976,0.0285103506517685,0.0292252785750904,"C1D3","TVSS","KH",5,"DENV1",30
"C1D3.2.30",0.000168266590039212,0.0445060504046006,0.0775556817088905,0.091620505103967,0.123517049449639,0.465748037983485,0.0904771795476781,0.0927638306602558,"C1D3","TVSS","KH",5,"DENV2",30
"C1D3.3.30",0.00011336057647493,0.013768714940261,0.0238087561613579,0.0285419637674838,0.0384359627581368,0.216863606525383,0.028182033426163,0.0289018941088047,"C1D3","TVSS","KH",5,"DENV3",30
"C1D3.4.30",0.000442458509989585,0.0173322250317827,0.0304354370367702,0.0357066302188422,0.0478445828887853,0.207557465423859,0.0352612260229252,0.0361520344147593,"C1D3","TVSS","KH",5,"DENV4",30
"C1D3.1.31",0.00013966600262183,0.0166812127591515,0.0286218264924404,0.033716518543295,0.0451354086854623,0.223732810993501,0.0332997501828128,0.0341332869037772,"C1D3","TVSS","KH",5,"DENV1",31
"C1D3.2.31",0.00049837028369637,0.0516102406415239,0.090599368765242,0.105387493919335,0.143276753553908,0.592621610244368,0.104117808841402,0.106657178997269,"C1D3","TVSS","KH",5,"DENV2",31
"C1D3.3.31",3.49645266383147e-05,0.0160673114942373,0.0279826225717202,0.0333199981773955,0.0451327594485307,0.169134302527732,0.0329014064471462,0.0337385899076448,"C1D3","TVSS","KH",5,"DENV3",31
"C1D3.4.31",0.000250676947754824,0.0192529486158335,0.0332718662704767,0.0391630283609364,0.0529005129277142,0.246053155765809,0.0386806036856656,0.0396454530362072,"C1D3","TVSS","KH",5,"DENV4",31
"C1D3.1.32",4.54077031274425e-05,0.0209247434889583,0.0368065749591713,0.0433890625241577,0.0585571271757297,0.262826746670976,0.0428433292166681,0.0439347958316474,"C1D3","TVSS","KH",5,"DENV1",32
"C1D3.2.32",0.000643048503854105,0.0557757038030087,0.0947759674748493,0.110660162352427,0.148852137467499,0.686755009320514,0.109339558636686,0.111980766068168,"C1D3","TVSS","KH",5,"DENV2",32
"C1D3.3.32",0.000122033771699726,0.0202926455887643,0.0355830792361281,0.0424530122596685,0.0571843894906394,0.250258413569281,0.0419158346193063,0.0429901899000307,"C1D3","TVSS","KH",5,"DENV3",32
"C1D3.4.32",0.000461051361412945,0.021558107885777,0.0381848369628964,0.0457280046697826,0.0615077155435735,0.277360929120261,0.0451427896289175,0.0463132197106478,"C1D3","TVSS","KH",5,"DENV4",32
"C1D3.1.33",0.000526063974039759,0.0263521181242224,0.0449593302153768,0.053661609726683,0.0728678288279407,0.294162922907011,0.052994711300823,0.0543285081525431,"C1D3","TVSS","KH",5,"DENV1",33
